#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
4783,53,55652,0.09286173, ,0.0505424,3.708829653, ,1.748025715,0.426358694,0.146813098,0.147550267,0.26844007,0.500665852,0.071878416,0.005971176, ,0.00017097,1.104201541,1.93271352,5.546526461, ,0.005612403,0.131914684,0.051154941,0.017998246,0.047781759,3.423024778,0.140789376,0.205458216,0.147547575
4869,875,55896,0.07643632, , ,3.958290003,0.550510719,1.921329597,0.382651476,0.223902677,0.063274449,0.248709341,0.429417932,0.04568843, , , ,0.92888949,1.624899499,4.627307014, ,0.003744813,0.101075272,0.05055537,0.019637969,0.032923611,2.87955742,0.096703722,0.199039277,0.138432781
650,461,52143,0.04226489, , , ,0.804741011,2.397502228,0.906680583,0.093156379,0.354080961,0.374726021,0.52349536,0.172468456,0.274127088,0.078110587,0.07016051,1.196021794,3.35780799,9.670701883,0.017041432, ,0.119069497,0.374448005,0.152190218,0.788877682,3.707667562,2.327831281,1.266174825,1.134071624
2019,327,53430,0.10048, , , ,1.622126915,2.051521703,0.904418504,0.349446005,0.089986447,0.238644349,0.434022965,0.201341297,0.180990519,0.030106955,0.020116203,0.956068626,2.978378005,8.492602228,0.061190078,0.031035761,0.095673247,0.584163309,0.178764296,0.655276887,2.963812741,1.925702765,0.950528252,0.792642308
2171,257,53557,0.2331484,0.129629173,0.088163394,0.066594338,0.139709668,1.126448874,0.400987367, ,0.293455396,0.231283026,0.427894276,0.060200348, , , ,0.967348482,1.910619845,5.450830143, , ,0.146162696,0.092943551,0.109710152,0.052088346,2.998780295,0.153108036,0.183575891,0.09163687
2478,541,54097,0.2651455,0.036307261,0.210547775,0.381014228,0.480916275,0.904807868,0.637679191,0.261821693,0.084781182,0.227655332,0.419638251,0.311532897,0.214461707, ,0.019126201,1.009440879,2.424379063,6.929704676, ,0.044475428,0.091477351,0.306507332,0.117190321,0.202627374,3.129266726,0.59606525,0.312415353,0.293715541
4627,187,55626,0.06697157, , ,4.559629096,0.443905451,0.821825639,0.44409513,0.189688021,0.137014995,0.282725595,0.484121478,0.093454331,0.023027471,0.008178524, ,1.069505246,1.94792732,5.582225676,0.006377036, ,0.120341142,0.031982605,0.012159033,0.02332117,3.315466263,0.068675957,0.161133093,0.107398953
5712,385,56602,0.07037693, ,0.201818117, ,0.822466687,0.149636816,0.392474034,0.224177924,0.037571803,0.238226024,0.441184978,0.117275264, ,0.01332603,0.013973,1.006250418,1.902078293,5.436021798,0.012958907, ,146.8104491,0.031205452,0.012093606,0.016136146,3.119376296,0.04746466,0.120281209,0.084773941
1212,388,52703,0.057686, , , ,0.907601865,1.360915469,0.343802235,0.128591824,0.151288541,0.255703092,0.461189733,0.038620938,0.007481066, , ,0.978104798,1.475087157,4.210370473,0.010583795, ,0.110450761,0.055144891,0.023271323,0.042538304,3.032124874,0.125062005,0.25545777,0.1879358
1625,626,53140,0.1392881, ,1.228447387,1.106087621,0.786371111,1.386501247,1.094485253,0.51016747, ,0.195254422,0.424283672,0.171509665,0.255014768,0.019033692,0.042239022,0.923402088,3.594691861,10.23407848,0.073283507,0.030338576,0.083658429,0.311211157,0.123844752,0.467155773,2.862546473,1.371988054,0.392993244,0.397039116
5133,203,55860,0.07422855, ,3.015215871,0.008807851,0.604391063,0.753446036,0.372478609,0.057876636,0.203130395,0.23446834,0.420532507,0.071995254,0.004952434,0.016155966, ,0.929082868,1.783391034,5.078701027, ,17.33094239,0.11177466,0.04080539,0.019778615,0.0247937,2.88015689,0.072824693,0.177726903,0.127216242
2095,74,53474,0.04730285, , , ,0.532277918,1.127376729,0.5218929,0.168295904,0.261287718,0.296454743,0.529548799,0.108333173, , ,0.004687996,1.135764024,1.749337106,5.026588308,0.009270223,0.00622133,0.143936059,0.057071183,0.01384746,0.039035439,3.520868474,0.115077531,0.18539506,0.145992275
3809,160,55533,0.2194523,2.493752245, ,2.912758719,0.597357009,1.161028532,0.459156419,0.246414771,0.079904106,0.263583355,0.483875571,0.056112067, , ,0.000714128,1.048632553,1.991898369,5.703213789,0.012046544, ,0.113082115,0.057948757,0.042134433,0.055188696,3.250760916,0.162460571,0.224403605,0.16516441
5767,126,56245,0.08489158, ,2.287572633,0.000875996,0.639546418,1.043833516,0.351139055,0.149855895,0.121564461,0.232298988,0.436839632,0.037848455,0.002446979,0.008404877, ,0.968060133,1.678233584,4.788010027, ,0.006549552,0.928859086,0.043300054,0.017023755,0.067002113,3.000986412,0.196948204,0.19025956,0.146058882
409,50,51871,0.06710893, , , ,0.392557411,0.902466819,0.412087033,0.107836499,0.196817732,0.238582263,0.447937405,0.066965663,0.008782308, ,0.006063662,0.92574486,1.792571743,5.104022191,0.00644083, ,0.10494178,0.037887927,0.01374515,0.022144456,2.869809066,0.065038976,0.1430631,0.116218177
1806,414,53559,0.08637238, , , ,0.728195705,0.822090629,0.391174686,0.311856433,0.016980962,0.246993682,0.44002073,0.070597514,0.013220955, , ,0.977075449,1.897465778,5.415720947,0.009095795, ,0.110492334,0.046126473,0.014663931,0.024153475,3.028933891,0.071009545,0.175211446,0.121203748
4864,703,55680,0.08202666, ,0.129355135,0.130951495,0.503244619,1.087555381,0.37156253,0.252339689,0.043456564,0.253851165,0.440291676,0.052999231,0.012778236, , ,0.975558513,1.726427433,4.927206429, , , ,0.047216779,0.020826795,0.033974999,3.024231392,0.099881273,0.202053906,0.143898826
991,299,52707,0.1563667, ,0.445898904,1.059665407,1.093925628,1.961832785,1.041493423,0.283041964,0.162521469,0.188318581,0.378383886,0.19513959,0.217695844,0.102615441,0.02809203,0.984008332,3.676398174,10.49643707,0.050698777,0.054120287,0.051448986,0.499199646,0.173540423,0.686541877,3.050425828,2.018645011,0.643074459,0.55985755
